partida_id,rodata,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,id_clube
187,16,0,0,,0,,0,0,0,0,0,15
187,16,0,0,,0,,0,0,0,0,0,8
188,16,0,0,,0,,0,0,0,0,0,10
188,16,0,0,,0,,0,0,0,0,0,25
189,16,0,0,,0,,0,0,0,0,0,14
189,16,0,0,,0,,0,0,0,0,0,32
190,16,0,0,,0,,0,0,0,0,0,44
190,16,0,0,,0,,0,0,0,0,0,21
191,16,0,0,,0,,0,0,0,0,0,28
191,16,0,0,,0,,0,0,0,0,0,11
192,16,0,0,,0,,0,0,0,0,0,9
192,16,0,0,,0,,0,0,0,0,0,37
193,17,0,0,,0,,0,0,0,0,0,1
193,17,0,0,,0,,0,0,0,0,0,15
194,17,0,0,,0,,0,0,0,0,0,8
194,17,0,0,,0,,0,0,0,0,0,28
195,17,0,0,,0,,0,0,0,0,0,30
195,17,0,0,,0,,0,0,0,0,0,32
196,17,0,0,,0,,0,0,0,0,0,40
196,17,0,0,,0,,0,0,0,0,0,37
197,17,0,0,,0,,0,0,0,0,0,23
197,17,0,0,,0,,0,0,0,0,0,31
198,17,0,0,,0,,0,0,0,0,0,16
198,17,0,0,,0,,0,0,0,0,0,21
199,17,0,0,,0,,0,0,0,0,0,25
199,17,0,0,,0,,0,0,0,0,0,41
200,17,0,0,,0,,0,0,0,0,0,12
200,17,0,0,,0,,0,0,0,0,0,10
201,17,0,0,,0,,0,0,0,0,0,2
201,17,0,0,,0,,0,0,0,0,0,11
202,17,0,0,,0,,0,0,0,0,0,44
202,17,0,0,,0,,0,0,0,0,0,9
203,17,0,0,,0,,0,0,0,0,0,35
203,17,0,0,,0,,0,0,0,0,0,14
204,17,0,0,,0,,0,0,0,0,0,6
204,17,0,0,,0,,0,0,0,0,0,39
205,18,0,0,,0,,0,0,0,0,0,15
205,18,0,0,,0,,0,0,0,0,0,16
206,18,0,0,,0,,0,0,0,0,0,10
206,18,0,0,,0,,0,0,0,0,0,32
207,18,0,0,,0,,0,0,0,0,0,12
207,18,0,0,,0,,0,0,0,0,0,23
208,18,0,0,,0,,0,0,0,0,0,41
208,18,0,0,,0,,0,0,0,0,0,35
209,18,0,0,,0,,0,0,0,0,0,44
209,18,0,0,,0,,0,0,0,0,0,37
210,18,0,0,,0,,0,0,0,0,0,8
210,18,0,0,,0,,0,0,0,0,0,11
211,18,0,0,,0,,0,0,0,0,0,25
211,18,0,0,,0,,0,0,0,0,0,14
212,18,0,0,,0,,0,0,0,0,0,39
212,18,0,0,,0,,0,0,0,0,0,31
213,18,0,0,,0,,0,0,0,0,0,40
213,18,0,0,,0,,0,0,0,0,0,1
214,18,0,0,,0,,0,0,0,0,0,9
214,18,0,0,,0,,0,0,0,0,0,2
215,18,0,0,,0,,0,0,0,0,0,30
215,18,0,0,,0,,0,0,0,0,0,6
216,18,0,0,,0,,0,0,0,0,0,21
216,18,0,0,,0,,0,0,0,0,0,28
217,19,0,0,,0,,0,0,0,0,0,32
217,19,0,0,,0,,0,0,0,0,0,41
218,19,0,0,,0,,0,0,0,0,0,31
218,19,0,0,,0,,0,0,0,0,0,25
219,19,0,0,,0,,0,0,0,0,0,37
219,19,0,0,,0,,0,0,0,0,0,1
220,19,0,0,,0,,0,0,0,0,0,9
220,19,0,0,,0,,0,0,0,0,0,11
221,19,0,0,,0,,0,0,0,0,0,40
221,19,0,0,,0,,0,0,0,0,0,21
222,19,0,0,,0,,0,0,0,0,0,35
222,19,0,0,,0,,0,0,0,0,0,10
223,19,0,0,,0,,0,0,0,0,0,44
223,19,0,0,,0,,0,0,0,0,0,28
224,19,0,0,,0,,0,0,0,0,0,30
224,19,0,0,,0,,0,0,0,0,0,12
225,19,0,0,,0,,0,0,0,0,0,16
225,19,0,0,,0,,0,0,0,0,0,8
226,19,0,0,,0,,0,0,0,0,0,6
226,19,0,0,,0,,0,0,0,0,0,23
227,19,0,0,,0,,0,0,0,0,0,15
227,19,0,0,,0,,0,0,0,0,0,2
229,20,0,0,,0,,0,0,0,0,0,9
229,20,0,0,,0,,0,0,0,0,0,28
230,20,0,0,,0,,0,0,0,0,0,40
230,20,0,0,,0,,0,0,0,0,0,8
231,20,0,0,,0,,0,0,0,0,0,32
231,20,0,0,,0,,0,0,0,0,0,35
232,20,0,0,,0,,0,0,0,0,0,10
232,20,0,0,,0,,0,0,0,0,0,31
233,20,0,0,,0,,0,0,0,0,0,25
233,20,0,0,,0,,0,0,0,0,0,23
234,20,0,0,,0,,0,0,0,0,0,15
234,20,0,0,,0,,0,0,0,0,0,37
235,20,0,0,,0,,0,0,0,0,0,11
235,20,0,0,,0,,0,0,0,0,0,44
236,20,0,0,,0,,0,0,0,0,0,14
236,20,0,0,,0,,0,0,0,0,0,41
237,20,0,0,,0,,0,0,0,0,0,1
237,20,0,0,,0,,0,0,0,0,0,16
238,20,0,0,,0,,0,0,0,0,0,21
238,20,0,0,,0,,0,0,0,0,0,2
239,20,0,0,,0,,0,0,0,0,0,30
239,20,0,0,,0,,0,0,0,0,0,39
240,20,0,0,,0,,0,0,0,0,0,12
240,20,0,0,,0,,0,0,0,0,0,6
241,21,0,0,,0,,0,0,0,0,0,32
241,21,0,0,,0,,0,0,0,0,0,39
242,21,0,0,,0,,0,0,0,0,0,35
242,21,0,0,,0,,0,0,0,0,0,25
