ID,rodata,data,hora,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,arrecadacao,id_mandante,id_visitante
6161,4,2018-05-06,16:00,3-4-2-1,4-2-3-1,F. Diniz Silva,R. Machado Marques,Palmeiras,Estádio Joaquim Américo Guimarães,1,3,PR,SP,0.0,15,38
6162,4,2018-05-06,16:01,4-2-3-1,3-1-4-2,V. Carmo Mancini,A. da Silva Braga,Fluminense, Barradão,1,2,BA,RJ,0.0,21,9
6163,4,2018-05-06,19:00,4-2-3-1,4-3-3,Renato Gaúcho,J. Ribeiro Ventura,Gremio,Arena do Grêmio,5,1,RS,SP,0.0,6,28
6164,4,2018-05-06,19:01,4-1-4-1,4-2-3-1,C. dos Santos Oliveira,A. Ferreira,Sport,Adelmar da Costa Carvalho,2,0,PE,BA,0.0,18,37
6165,4,2018-05-07,20:01,4-2-3-1,4-2-3-1,G. Kleina,Ademir Fesan,-,Arena Condá,1,1,SC,PR,0.0,20,39
6166,5,2018-05-12,16:01,4-2-3-1,4-3-3,Renato Gaúcho,O. Hellmann,-,Arena do Grêmio,0,0,RS,RS,0.0,6,10
6167,5,2018-05-13,11:01,4-2-3-1,4-1-4-1,L. Venker de Menezes,C. dos Santos Oliveira,Cruzeiro, Mineirão,2,0,MG,PE,0.0,30,18
6169,5,2018-05-13,16:00,4-2-3-1,4-2-3-1,J. Mannarino,V. Carmo Mancini,Vitoria,Estádio Vasco da Gama,2,3,RJ,BA,0.0,12,21
6170,5,2018-05-13,16:01,4-2-4-0,4-2-3-1,F. Carille,R. Machado Marques,Corinthians,Neo Química Arena,1,0,SP,SP,0.0,8,38
6171,5,2018-05-13,16:01,4-2-3-1,4-1-4-1,A. Ferreira,D. Aguirre Camblor,-,Itaipava Arena Fonte Nova,2,2,BA,SP,0.0,37,2
6172,5,2018-05-13,16:01,4-1-4-1,4-1-4-1,G. Kleina,M. Nogueira Barbieri,Chapecoense,Arena Condá,3,2,SC,RJ,0.0,20,41
6168,5,2018-05-13,16:03,3-4-2-1,4-2-3-1,F. Diniz Silva,T. Mendes Larghi,Atletico-MG,Estádio Joaquim Américo Guimarães,1,2,PR,MG,0.0,15,35
6173,5,2018-05-13,19:00,4-1-4-1,4-2-3-1,J. Ribeiro Ventura,Ademir Fesan,Santos,Estádio Urbano Caldeira,3,1,SP,PR,0.0,28,39
6175,5,2018-05-14,20:00,4-2-3-1,4-2-3-1,M. Oliveira Chamusca,E. Alves Moreira,-,Arena Castelão,2,2,CE,MG,0.0,27,46
6174,5,2018-05-14,20:02,4-2-3-1,3-4-2-1,A. Valentim do Carmo Neto,A. da Silva Braga,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,RJ,0.0,7,9
6176,6,2018-05-19,16:00,4-2-3-1,4-4-2,T. Mendes Larghi,L. Venker de Menezes,Atletico-MG,Estádio Raimundo Sampaio,1,0,MG,MG,0.0,35,30
6177,6,2018-05-19,19:01,4-1-4-1,4-2-3-1,M. Nogueira Barbieri,J. Mannarino,-, Maracanã,1,1,RJ,RJ,0.0,41,12
6178,6,2018-05-19,21:00,4-2-3-1,4-2-3-1,R. Machado Marques,A. Ferreira,Palmeiras,Allianz Parque,3,0,SP,BA,0.0,38,37
6179,6,2018-05-20,11:02,4-2-3-1,4-2-3-1,V. Carmo Mancini,M. Oliveira Chamusca,Vitoria, Barradão,2,1,BA,CE,0.0,21,27
6181,6,2018-05-20,16:00,4-2-3-1,4-1-4-1,E. Alves Moreira,A. Valentim do Carmo Neto,America-MG,Estádio Raimundo Sampaio,1,0,MG,RJ,0.0,46,7
6182,6,2018-05-20,16:00,4-1-4-1,4-2-3-1,Ademir Fesan,Renato Gaúcho,-,Vila Capanema,0,0,PR,RS,0.0,39,6
6183,6,2018-05-20,16:00,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,F. Carille,-,Arena de Pernambuco,1,1,PE,SP,0.0,18,8
6180,6,2018-05-20,16:01,4-2-3-1,4-2-3-1,D. Aguirre Camblor,J. Ribeiro Ventura,Sao Paulo, Morumbi,1,0,SP,SP,0.0,2,28
6184,6,2018-05-20,19:00,5-4-1,3-4-2-1,A. da Silva Braga,F. Diniz Silva,Fluminense, Maracanã,2,0,RJ,PR,0.0,9,15
6185,6,2018-05-21,20:00,4-2-3-1,4-1-4-1,O. Hellmann,G. Kleina,Internacional,Estádio José Pinheiro Borda,3,0,RS,SC,0.0,10,20
6186,7,2018-05-26,16:00,3-4-3,4-1-4-1,A. da Silva Braga,G. Kleina,Fluminense, Maracanã,3,1,RJ,SC,0.0,9,20
6187,7,2018-05-26,19:00,4-2-3-1,4-1-4-1,R. Machado Marques,C. dos Santos Oliveira,Sport,Allianz Parque,2,3,SP,PE,0.0,38,18
6188,7,2018-05-26,21:00,4-2-3-1,4-1-4-1,T. Mendes Larghi,M. Nogueira Barbieri,Flamengo,Estádio Raimundo Sampaio,0,1,MG,RJ,0.0,35,41
6189,7,2018-05-27,11:00,4-1-4-1,3-4-2-1,Ademir Fesan,F. Diniz Silva,-,Vila Capanema,0,0,PR,PR,0.0,39,15
6190,7,2018-05-27,16:00,4-2-3-1,4-2-3-1,O. Hellmann,O. Loss,Internacional,Estádio José Pinheiro Borda,2,1,RS,SP,0.0,10,8
6191,7,2018-05-27,16:00,4-2-3-1,4-2-3-1,A. Ferreira,J. Mannarino,Bahia,Itaipava Arena Fonte Nova,3,0,BA,RJ,0.0,37,12
6193,7,2018-05-27,16:01,4-3-2-1,4-2-3-1,A. Valentim do Carmo Neto,V. Carmo Mancini,-,Estádio Nilton Santos,1,1,RJ,BA,0.0,7,21
6192,7,2018-05-27,16:03,4-3-3,4-2-3-1,J. Ribeiro Ventura,L. Venker de Menezes,Cruzeiro,Estádio Municipal Paulo Machado de Carvalho,0,1,SP,MG,0.0,28,30
6194,7,2018-05-27,18:59,4-2-3-1,4-2-3-1,J. de Amorim Campos,Renato Gaúcho,Gremio,Arena Castelão,0,1,CE,RS,0.0,27,6
6195,7,2018-05-27,19:00,4-2-3-1,4-4-1-1,E. Alves Moreira,D. Aguirre Camblor,Sao Paulo,Estádio Raimundo Sampaio,1,3,MG,SP,0.0,46,2
6197,8,2018-05-30,10:13,4-2-3-1,4-2-3-1,V. Carmo Mancini,O. Hellmann,Internacional, Barradão,2,3,BA,RS,0.0,21,10
6196,8,2018-05-30,19:29,4-4-2,4-1-4-1,J. Mannarino,Ademir Fesan,Vasco,Estádio Vasco da Gama,1,0,RJ,PR,0.0,12,39
6198,8,2018-05-30,19:30,4-2-3-1,4-1-4-1,C. dos Santos Oliveira,T. Mendes Larghi,Sport,Adelmar da Costa Carvalho,3,2,PE,MG,0.0,18,35
6199,8,2018-05-30,21:00,4-1-4-1,4-1-4-1,G. Kleina,J. de Amorim Campos,Chapecoense,Arena Condá,2,0,SC,CE,0.0,20,27
6200,8,2018-05-30,21:00,4-2-3-1,4-2-3-1,D. Aguirre Camblor,A. Valentim do Carmo Neto,Sao Paulo, Morumbi,3,2,SP,RJ,0.0,2,7
6201,8,2018-05-30,21:45,4-2-3-1,5-4-1,Renato Gaúcho,A. da Silva Braga,-,Arena do Grêmio,0,0,RS,RJ,0.0,6,9
6202,8,2018-05-30,21:47,4-2-3-1,4-2-3-1,L. Venker de Menezes,R. Machado Marques,Cruzeiro, Mineirão,1,0,MG,SP,0.0,30,38
6203,8,2018-05-31,16:00,4-1-4-1,4-2-4-0,M. Nogueira Barbieri,A. Ferreira,Flamengo, Maracanã,2,0,RJ,BA,0.0,41,37
6204,8,2018-05-31,18:00,4-2-4-0,4-2-3-1,O. Loss,E. Alves Moreira,Corinthians,Neo Química Arena,1,0,SP,MG,0.0,8,46
6205,8,2018-05-31,21:00,3-4-2-1,4-3-3,F. Diniz Silva,J. Ribeiro Ventura,Athletico-PR,Estádio Joaquim Américo Guimarães,2,0,PR,SP,0.0,15,28
6206,9,2018-06-02,15:59,4-2-3-1,4-2-3-1,O. Hellmann,C. dos Santos Oliveira,-,Estádio José Pinheiro Borda,0,0,RS,PE,0.0,10,18
6207,9,2018-06-02,16:00,4-1-4-1,4-2-3-1,T. Mendes Larghi,G. Kleina,-,Estádio Raimundo Sampaio,3,3,MG,SC,0.0,35,20
6208,9,2018-06-02,18:59,4-2-3-1,4-2-3-1,J. Mannarino,A. Valentim do Carmo Neto,Botafogo-RJ,Estádio Vasco da Gama,1,2,RJ,RJ,0.0,12,7
6209,9,2018-06-02,21:00,4-2-3-1,4-2-3-1,R. Machado Marques,D. Aguirre Camblor,Palmeiras,Allianz Parque,3,1,SP,SP,0.0,38,2
6210,9,2018-06-03,16:00,4-1-4-1,4-2-4-0,M. Nogueira Barbieri,O. Loss,Flamengo, Maracanã,1,0,RJ,SP,0.0,41,8
